given_name,family_name,gender,birthdate,language,street,postcode,city,country,latitude,longitude,phone_number
Fabio,Prager,male,1961-08-14,de,Lorenz-Pfeiffer-Gasse 2,6126,Hardegg,Austria,47.148889,9.667543,+43 276754685643
James,Simic,male,1960-04-07,de,Tim-Mair-Platz 88,9015,Wieselburg,Austria,47.853728,15.034753,+43 (0) 1 93874911
Christina,Burgstaller,female,2006-09-12,de,Holzknechtstraße 9,3753,Purbach am Neusiedler See,Austria,48.298664,13.689138,06414 06743 380
Lina,Bogner,female,1990-04-07,de,Adam-Mittermayr-Weg 9,7158,Scheibbs,Austria,48.252046,15.52337,07797/99673546
Lucie,Grüner,female,1969-09-21,de,Tiefenbacherstr. 0,8097,Vöcklabruck,Austria,46.698306,15.205944,(04282) 15552 103
Elisa,Rotter,female,1994-02-11,de,Laurin-Nowak-Ring 75,8217,Klosterneuburg,Austria,48.536208,14.007732,0662/23034670
Laila,Kreidl,female,1961-09-29,de,Bernhardgasse 35,2783,Eferding,Austria,48.044457,15.700253,(0463) 53881 586
Amelie,Schiestl,female,1949-08-07,de,Lorenzstr. 2,6995,Mannersdorf am Leithagebirge,Austria,48.268817,13.809936,+43 (0) 5249 88675394
Tristan,Steinböck,male,1994-09-13,de,Joseph-Hubmann-Platz 458,6511,Fürstenfeld,Austria,48.447405,14.439244,04230 74502 325
Florin,Kofler,male,1980-07-27,de,Sieberstr. 2/6,9354,Pregarten,Austria,48.690963,15.894593,06249 65438 009
Carina,Fellner,female,1958-01-26,de,Lorena-Gartner-Weg 79,6623,Gmünd,Austria,47.396974,12.2161,+43 753014655664
Manuel,Schweiger,male,1940-03-21,de,Siena-Tischler-Straße 1,4000,Neusiedl am See,Austria,48.261643,14.50608,04859/14335281
Gustav,Trummer,male,1944-04-09,de,Linus-Sigl-Ring 6,3349,Sankt Andrä im Lavanttal,Austria,46.87802,14.048268,0463/09463055
Luis,Unterberger,male,1958-11-28,de,Schenkgasse 8/2,5097,Allentsteig,Austria,47.421155,10.705439,+43 363073034244
Heinrich,Lutz,male,1947-03-25,de,Seitzweg 9/9,6776,Melk,Austria,48.629349,14.614369,+43 (0) 7380 71272155
Joshua,Scheidl,male,1995-04-21,de,Kuhnweg 3/3,3328,Leibnitz,Austria,47.129887,11.845772,05514/07664056
Tim,Freitag,male,1961-03-06,de,Geyerplatz 0/2,2398,Bruck an der Mur,Austria,47.910601,16.328214,+43 722138364839
Constanze,Köck,female,1985-02-14,de,Scheergasse 5,2847,Freistadt,Austria,48.107897,16.114825,(01) 73948 491
Dario,Jungwirth,male,2006-10-23,de,Carlo-Froschauer-Platz 47,1756,Eisenerz,Austria,47.074839,11.466491,06519/88011453
Anne,Ludwig,female,1983-12-19,de,Adriana-Schweiger-Straße 15,3597,Weiz,Austria,47.548854,15.082347,01/08440436
