gender;age;country;eci;storyid;lat;long;name;EPS
male;86;fr;9195-890591-0;f18c39e1-f007-40e6-d9ed-9378d4888cb9;f18c39e1-f007-40e6-d9ed-9378d4888cb9;46.6033;-0.9853;Raymond Voisin;1
male;33;hu;7677-491673-8;c82171bb-89e5-965d-a88b-3d1bf1e3cb6d;c82171bb-89e5-965d-a88b-3d1bf1e3cb6d;46.3667;16.3833;Ferenc Oláh;1
female;76;it;5516-183495-1;8a95eb39-1f69-f69c-b254-a15158d748c2;8a95eb39-1f69-f69c-b254-a15158d748c2;43.7711;11.2544;Maria Tarchetti;1
female;75;it;9570-745352-8;d296df05-fcaa-3c04-9e8b-ef3c3c0b2465;d296df05-fcaa-3c04-9e8b-ef3c3c0b2465;44.6936;11.4383;Antonia Palumbo;1
female;73;it;7546-639916-1;f0b91b97-08f6-a6f5-8f7b-97b0c60914e7;f0b91b97-08f6-a6f5-8f7b-97b0c60914e7;45.5061;9.2411;Clelia Sauro;1
male;68;it;5152-647122-5;555d5af6-08ec-f74f-3c65-3b8a421d1907;555d5af6-08ec-f74f-3c65-3b8a421d1907;46.1167;9.3667;Ippazio Ottino;1
male;28;ro;9157-753773-0;ba30b258-071b-b41a-cc55-ffa0b4011a99;ba30b258-071b-b41a-cc55-ffa0b4011a99;45.1667;26.1167;Teodor Ardelean;1
female;58;es;2436-608259-2;0b719508-da32-97cc-416b-bc6ac47e627d;0b719508-da32-97cc-416b-bc6ac47e627d;41.9794;2.8214;Julie Clemente;1
male;68;gb;1567-191230-9;3767ab81-118d-b30b-062e-c21bf8650ad6;3767ab81-118d-b30b-062e-c21bf8650ad6;51.3833;-0.2833;Darren Price;1
male;69;gb;7320-236450-8;6028333d-e59b-26e1-ee83-71a6c6ba1d0f;6028333d-e59b-26e1-ee83-71a6c6ba1d0f;51.5074;-0.1278;Jacob Hudson;1
